序号,参数层级,模块,参数名,Solidity Key/入口,作用域与Key维度,状态,当前/样例原始值,可读值,数据类型,精度或单位,设置入口,所需权限,Limited Keeper可改,当前路径必填,用途,E2E测试关注点,来源,备注
231,允许配置但当前未设置,资金费,THRESHOLD_FOR_DECREASE_FUNDING,FX100Keys.THRESHOLD_FOR_DECREASE_FUNDING,"marketIndex[, side/flag]",当前部署快照未见非零值,,,int/uint,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：threshold for decrease funding；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
232,允许配置但当前未设置,资金费,THRESHOLD_FOR_STABLE_FUNDING,FX100Keys.THRESHOLD_FOR_STABLE_FUNDING,"marketIndex[, side/flag]",当前部署快照未见非零值,,,int/uint,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：threshold for stable funding；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
233,允许配置但当前未设置,Oracle 与价格源,EXECUTION_GAS_FEE_PER_ORACLE_PRICE,FX100Keys.EXECUTION_GAS_FEE_PER_ORACLE_PRICE,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,否/按功能启用,实际结算中每个 Oracle price 的 Gas。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
234,允许配置但当前未设置,Oracle 与价格源,FEE_DISTRIBUTOR_CHAINLINK_FACTOR,Keys2.FEE_DISTRIBUTOR_CHAINLINK_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor chainlink factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
235,允许配置但当前未设置,Oracle 与价格源,MIN_ORACLE_BLOCK_CONFIRMATIONS,FX100Keys.MIN_ORACLE_BLOCK_CONFIRMATIONS,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min oracle block confirmations；当前版本未提供更具体的脚本说明。,过期、偏差、Provider禁用、min/max价格选择,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
236,允许配置但当前未设置,Oracle 与价格源,ORACLE_PROVIDER_MIN_CHANGE_DELAY,FX100Keys.ORACLE_PROVIDER_MIN_CHANGE_DELAY,global 或按 Key builder,当前部署快照未见非零值,,,uint256,秒/时间整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：oracle provider min change delay；当前版本未提供更具体的脚本说明。,过期、偏差、Provider禁用、min/max价格选择,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
237,允许配置但当前未设置,Oracle 与价格源,ORACLE_TIMESTAMP_ADJUSTMENT,FX100Keys.ORACLE_TIMESTAMP_ADJUSTMENT,token/provider,当前部署快照未见非零值,,,uint256,秒/时间整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：oracle timestamp adjustment；当前版本未提供更具体的脚本说明。,过期、偏差、Provider禁用、min/max价格选择,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
238,允许配置但当前未设置,Oracle 与价格源,ORACLE_TYPE,FX100Keys.ORACLE_TYPE,token/provider,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：oracle type；当前版本未提供更具体的脚本说明。,过期、偏差、Provider禁用、min/max价格选择,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
239,允许配置但当前未设置,Oracle 与价格源,PRICE_FEED_HEARTBEAT_DURATION,FX100Keys.PRICE_FEED_HEARTBEAT_DURATION,token/provider,当前部署快照未见非零值,,,uint256,秒/时间整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,Price feed 最大心跳间隔。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
240,允许配置但当前未设置,Oracle 与价格源,SEQUENCER_GRACE_DURATION,FX100Keys.SEQUENCER_GRACE_DURATION,global 或按 Key builder,当前部署快照未见非零值,,,uint256,秒/时间整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,Sequencer 恢复后的保护时间。,过期、偏差、Provider禁用、min/max价格选择,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
241,允许配置但当前未设置,Relay 与子账户,IS_RELAY_FEE_EXCLUDED,FX100Keys.IS_RELAY_FEE_EXCLUDED,global 或按 Key builder,当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：is relay fee excluded；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
242,允许配置但当前未设置,Relay 与子账户,MAX_RELAY_FEE_SWAP_USD_FOR_SUBACCOUNT,FX100Keys.MAX_RELAY_FEE_SWAP_USD_FOR_SUBACCOUNT,account/subaccount/actionType,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max relay fee swap usd for subaccount；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
243,允许配置但当前未设置,Relay 与子账户,RELAY_FEE_ADDRESS,FX100Keys.RELAY_FEE_ADDRESS,global 或按 Key builder,当前部署快照未见非零值,,,address,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：relay fee address；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
244,允许配置但当前未设置,Relay 与子账户,RELAY_FEE_MULTIPLIER_FACTOR,FX100Keys.RELAY_FEE_MULTIPLIER_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,Relay Gas 成本放大比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
245,允许配置但当前未设置,Relay 与子账户,SUBACCOUNT_FEATURE_DISABLED,FX100Keys.SUBACCOUNT_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：subaccount feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
246,允许配置但当前未设置,Relay 与子账户,SUBACCOUNT_INTEGRATION_DISABLED,FX100Keys.SUBACCOUNT_INTEGRATION_DISABLED,account/subaccount/actionType,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：subaccount integration disabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
247,允许配置但当前未设置,Swap 与存取款,ATOMIC_SWAP_FEE_FACTOR,FX100Keys.ATOMIC_SWAP_FEE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：atomic swap fee factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
248,允许配置但当前未设置,Swap 与存取款,ATOMIC_WITHDRAWAL_FEE_FACTOR,FX100Keys.ATOMIC_WITHDRAWAL_FEE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：atomic withdrawal fee factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
249,允许配置但当前未设置,Swap 与存取款,DEPOSIT_FEE_FACTOR,FX100Keys.DEPOSIT_FEE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：deposit fee factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
250,允许配置但当前未设置,Swap 与存取款,MAX_LENDABLE_IMPACT_FACTOR_FOR_WITHDRAWALS,FX100Keys.MAX_LENDABLE_IMPACT_FACTOR_FOR_WITHDRAWALS,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max lendable impact factor for withdrawals；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
251,允许配置但当前未设置,Swap 与存取款,MAX_POOL_USD_FOR_DEPOSIT,FX100Keys.MAX_POOL_USD_FOR_DEPOSIT,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,否/按功能启用,合约允许配置项：max pool usd for deposit；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
252,允许配置但当前未设置,Swap 与存取款,MAX_SWAP_PATH_LENGTH,FX100Keys.MAX_SWAP_PATH_LENGTH,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max swap path length；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
253,允许配置但当前未设置,Swap 与存取款,MIN_MARKET_TOKENS_FOR_FIRST_DEPOSIT,FX100Keys.MIN_MARKET_TOKENS_FOR_FIRST_DEPOSIT,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min market tokens for first deposit；当前版本未提供更具体的脚本说明。,零地址、错误地址、权限和实际资金接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
254,允许配置但当前未设置,Swap 与存取款,SWAP_FEE_FACTOR,FX100Keys.SWAP_FEE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：swap fee factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
255,允许配置但当前未设置,Swap 与存取款,SWAP_IMPACT_EXPONENT_FACTOR,FX100Keys.SWAP_IMPACT_EXPONENT_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：swap impact exponent factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
256,允许配置但当前未设置,Swap 与存取款,SWAP_IMPACT_FACTOR,FX100Keys.SWAP_IMPACT_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：swap impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
257,允许配置但当前未设置,Swap 与存取款,VIRTUAL_INVENTORY_FOR_SWAPS,FX100Keys.VIRTUAL_INVENTORY_FOR_SWAPS,global 或按 Key builder,当前部署快照未见非零值,,,int/uint,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：virtual inventory for swaps；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
258,允许配置但当前未设置,Swap 与存取款,WITHDRAWAL_FEE_FACTOR,FX100Keys.WITHDRAWAL_FEE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：withdrawal fee factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
